"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
3bhk fully furnished Luxury flat for sale at Kadavanthra,2117sqft 3bhkb fully furnished Luxury Flat for sale at Kadavanthra.,Kochi,Kadavanthra,3 Bds , 3 Ba , 2117 ft2,"₹ 2,45,00,000"
Flat for sale at Panampilly Nagar,2500sqft 3bhk flat for sale at Panampilly Nagar with all aminities. asking price 1.80cr,Kochi,Panampilly Nagar,3 Bds , 3 Ba , 2500 ft2,"₹ 1,80,00,000"
Luxury flat for sale at Kadavanthra,2100sqft 3bhk furnished flat at Kadavanthra. With all aminities,Kochi,Kadavanthara,3 Bds , 3 Ba , 2100 ft2,"₹ 2,45,00,000"
Executive Accomodation single room bath attached . 6000/-,"3 bath attached room at the first floor of a residential house - 200 m from kadavanthra junction . Cot with bed , table and chair available . Nayan for for seven 1 ate to ate to Nayan. Rs.6000/- per room",Kochi,Kadavanthra,1 Bds , 1 Ba , 250 ft2,"₹ 10,000"
House with shop for sale,"8.477 cent land, 1100 square feet house and shop for sale...with lorry access road School, temple, hospital and church are near by",Kochi,Edakochi,3 Bds , 1 Ba , 1100 ft2,"₹ 95,00,000"
"Apartment in panampally nagar, 4 bedroom flat for sale","A beautiful 4 bhk apartment in panampally nagar, kochi. The property is a part of panampally nagar. It is a  property in a promising locality. This well-Designed new property is . It is located on 4th floor. The property ownership is freehold type and  has a carpet area of 3100 sq.Ft. The price of the property is estimated at rs. Rs 2.1 crore and per unit area cost is at rs. 6774.00 per sq.Ft. With 1 balcony(s) and 4 bathroom(s), the apartment is unfurnished. 1 covered parking and 1 open parking. The brokerage amount is 1.00% of the total property price. Brokers please excuse",Kochi,Panampilly Nagar,4 Bds , 4 Ba , 3100 ft2,"₹ 2,10,00,000"
2600SQFT 3 BHK APARTMENT MATHER ELCASTILLO,"El Castillo, Jawahar Nagar. Where haute location, design and reputation unite. In one landmark project. A most privileged location.",Kochi,Kadavanthara,3 Bds , 3 Ba , 2601 ft2,"₹ 1,90,00,000"
10000 രൂപക്ക് വാഗമണിൽ വില്ല വാങ്ങാം,വാഗമണിൽ വില്ല ഷെയർ നിങ്ങൾക്ക് സ്വന്തം ആക്കാം. ഫേക്ക് പരസ്യം അല്ല. കൂടുതൽ വിവരങ്ങൾക്ക് വിളിക്കുക,Kochi,Kadavanthra,3 Bds , 2 Ba , 539 ft2,"₹ 10,000"
10000 നൽകാം വാഗമണിൽ നേടാം,വാഗമണിൽ വില്ല ഷെയർ  നേടാം. കൂടുതൽ വിവരങ്ങൾക്ക് വിളിക്കുക. ഫേക്ക് പരസ്യം അല്ല. വിളിക്കുക ആവശ്യക്കാർ,Kochi,Kadavanthra,2 Bds , 2 Ba , 241 ft2,"₹ 10,000"
Limitted ഓഫർ 10000 രൂപക്ക് വാഗമണിൽ വില്ല,വാഗമണിൽ വില്ല ഷെയർ / ഫ്രീ താമസം നേടാം. കൂടുതൽ വിവരങ്ങൾക്ക് വിളിക്കുക. ഫേക്ക് പരസ്യം അല്ല.,Kochi,Marine Drive,3 Bds , 3 Ba , 253 ft2,"₹ 10,000"
House for sale in vypin,"4.5 cent plot whit house urgent sale. Near puthuvype beach.. Good housing area.. New national HIGHWAY COMING SOON.. OCENERAIYUM PROJECT. LNG, READY CASH BUYERS contact..",Kochi,Vypin,3 Bds , 1 Ba , 650 ft2,"₹ 27,00,000"
3 bedrooms 1hall kitchen bathroom 3 cent,Auto keruna vazhi,Kochi,Edakochi,2 Bds , 1 Ba , 600 ft2,"₹ 20,00,000"
urgent sale 3 bhk apartment,urgent sale 3 bhk apartment for sale in purva grandbay 1800sqft fully waterfront .,Kochi,Marine Drive,3 Bds , 3 Ba , 1800 ft2,"₹ 1,75,00,000"
SKYLINE TOPAZ 4 BHK APARTMENT FOR SALE,"Skyline topaz is one of the popular residential projects that is located in kadavanthra, kochi It is situated close to the market, hospital and various educational institutions Swimming pool, landscape garden, children play area, gated community, rainwater harvesting",Kochi,Kadavanthara,3 Bds , 3 Ba , 3357 ft2,"₹ 2,35,00,000"
WATER FRONT APARTMENT FOR SALE,"Purva Oceana apartments in Kochi are for those who know how to celebrate life in style and enjoy little indulgences that matter. These are spacious apartment units to match your grand lifestyle located on Marine Drive in Kochi.""",Kochi,Marine Drive,3 Bds , 3 Ba , 3092 ft2,"₹ 2,85,00,000"
3 BHK WATER VIEW APARTMENT FOR SALE,3 BHK 1390SQFT WATERFRONT APARTMENT FOR SALE,Kochi,Kadavanthara,3 Bds , 3 Ba , 1390 ft2,"₹ 89,00,000"
4 BHK 4480SQFT APARTMENT FOR SALE,"Skyline Aristocrat, the 139th project from Skyline Builders is the epitome of luxury, offering an exclusive4 BHK spacious apartments at PT Usha Road",Kochi,MG Road,4 Bds , 4 Ba , 4480 ft2,"₹ 3,60,00,000"
3 BHK 2500 SQFT APARTMENT FOR SALE,"*IIDL Aerie Panampally Nagar has 2 towers, with 14 floors each and 56 units on offer. *Spread over an area of 0 acres, IIDL Aerie is one of the spacious housing .",Kochi,Panampilly Nagar,3 Bds , 3 Ba , 2500 ft2,"₹ 1,75,00,000"
3 BHK APARTMENT FOR SALE,"Yeskay Regalia Total 14 floors This one G 11 on 11th floor 1430sq ft, 3 bedrooms, all attached and furnished Without home appliances There is only one water heater in master bed. Balconies in west and north and opening to east also",Kochi,Kadavanthara,3 Bds , 3 Ba , 1430 ft2,"₹ 1,10,00,000"
FULLY WATERFRONT APARTMENT FOR SALE,"Own your dream home with Purva Grandbay - 3 BHK luxury apartments located in Marine Drive, Kochi. Spacious homes with world-class amenities.",Kochi,Marine Drive,3 Bds , 3 Ba , 1922 ft2,"₹ 1,90,00,000"
TATA TRITVAM MARINEDRIVE WATERFRONT APARTMENT FOR SALE,"TATA Tritvam is a world-class residency for luxury living in Kochi. Buy 3 BHK & 4 BHK homes with amenities like squash court, gym, cafe, yoga studio, etc.",Kochi,Marine Drive,3 Bds , 3 Ba , 2217 ft2,"₹ 1,85,00,000"
Newly build house for sale,For investing our business,Kochi,Palluruthy,3 Bds , 3 Ba , 1500 ft2,"₹ 1,20,00,000"
4CENT PLOT ANT HOUSE 2BED ROOM 2BTHROOMS WORKAREA,4cent plot and house 2bedroom 2bathroom WORKAREA bikes access only,Kochi,Palluruthy,2 Bds , 2 Ba , 1200 ft2,"₹ 52,00,000"
3 to 4 BHK READY TO MOVE APARTMENT IN KOCHI MARINA BY PURVANKARA,3 to 4 BHK ready to move Apartment in Kochi Marina by Puravankara Price starting from 2 Cr,Kochi,Marine Drive,4 Bds , 4 Ba , 1700 ft2,"₹ 2,00,00,000"
"4BHK furnished ready to move flat in Kadavanthra, Kochi","4BHK furnished ready to move flat in Kadavanthra, Kumaranasan Nagar With all modern facilities",Kochi,Kadavanthra,4 Bds , 4 Ba , 2200 ft2,"₹ 1,75,00,000"
4 BHK ( ref 25) ready to move old villa in Panabilly Nagar Ekm,4BHK ready to move old vilka in Panampilly Nagar Ernakulam in 3.59 cents. Asking price 1.12 cr Negotiable,Kochi,Panampilly Nagar,4 Bds , 4 Ba , 2400 ft2,"₹ 1,12,00,000"
3BHK (ref 25) ready to move renovated villa in North GiriNagar Ekm,3 BHK ready to move renovated villa in North Giri Nagar. In 4.559 cents of land. Asking Price 1.2cr Negotiable,Kochi,Kadavanthra,3 Bds , 3 Ba , 2500 ft2,"₹ 1,20,00,000"
2 ¹/2 സെൻറ് House and plot for sale to 22 lakh. 1BHK,"2¹/2cnt house and plot.1BHK. close to Rameswarm colony.     On the back side of Emmanuel church, Beach road.      infront of road squre plot.     4 km. to fortkochi.    2,4 Wheeler parking area. 2km to veli ground.     Easy to access schools.        1km. To Nazareth church and market.        Electricity is good and water connection needed.             Genuine customers only need to contact. Listed by owner",Kochi,Fort Kochi,1 Bds , 1 Ba , 2500 ft2,"₹ 22,00,000"
Ground  and First Floor House Rent Thevara RS 12000,Ground And First Floor Rend Thevara Rs12000,Kochi,Konthuruthy,3 Bds , 2 Ba , 1300 ft2,"₹ 12,000"
Apartment for sale,"3 bhk semi furnished apartment with attached bathrooms  health club  kids play area, indoor games area, internet broadband connectivity, centralized gas supply, generator backup elevator and round the clock security.",Kochi,Gandhi Nagar,3 Bds , 3 Ba , 1634 ft2,"₹ 79,00,000"
Spacious 6 BHK house for sale at Fort Kochi.,"Beautiful 6bhk house for sale at Thoppumpady.  Please read the whole description before messaging. Brokers, Please excuse.   It's a 12 Cents 3500 square feet house Consisting of 6 bedrooms and 2 Kitchens.  - Just 20 meters from the main road - 200 Meters from the Bus stop  - 4 rooms on the ground floor - 3 Attached. 2 rooms on the first floor - Both attached.   - The ground floor is 20 years old - we had it replastered, so except for the block structure everything else is brand new. The first floor is just 6 years old.   - 1st floor has an independent stair outside Suitable for offices - Clinics - Renting purposes.    - The place has a lavish car park area, you can park up to 7-8 cars.   - Zero liability.  All Documents are up to date.",Kochi,Fort Kochi,4+ Bds , 4+ Ba , 3500 ft2,"₹ 1,80,00,000"
House at Kadavanthra,"House at Kadavanthra  Walkable distance to Kadavanthra junction and Elamkulam metro station. Area: 8.026 cents of land  3,700 + square feet  Bedrooms: 4 with walk in closet & attached bathrooms+ Pooja Room + 1 servant bathroom  Kitchen: 1nos, one sleek hobs & chimneys , LG double door fridge, Panasonic Microwave oven, Store room and a work area (2nd kitchen) Dining: spacious room with one side full tempered glass with table to seat 6 persons and with a breakfast counter  Facilities:  1. Space to park 2 cars with option of 3rd parking  2. Home theatre with 55” tv  & 5.1 Harmon kardon  sound system  3. Construction done with bricks and river sand with fully teak wood used 4. Fully furnished including washing machine and 3 Nos of Tv  5. 6 nos of split ac 6. Space for garden in front  7. Fully furnished living room, dining room & 4 bedrooms 8. Fully teak wood stair case with double height dining room 9. Corporation water, with water purification well water 10. Rainwater harvesting  11. Bathroom fittings of Kohler and Vitra  12. Leather granite for living room and dining room, Kajaria world tiles for dining room, master bedroom, all walk-in closets, master bathroom and for main stairs. Wooden floor for home theatre. 13. 5 cameras with security alarm system 14. Switches by Sneider electric and complete Led house lighting  15.Construction by renowned architect & interior decorator and has come in different magazines and Newspaper Price expected -4.85 crore negotiable",Kochi,Kadavanthra,4 Bds , 4+ Ba , 3700 ft2,"₹ 4,85,00,000"
"4 BH 2K House, 3Cent Plot, Roadside, Corp Water & Bore Well",* 4 Bedrooms  * 4 Attached toilets and 1 Servant Toilet.  * Separate electricity lines on both floors.  * 24x7 Hot water from Solar Water Heater  * Near G-cinema theatre  * Corporation Water as well as Borewell Water Available 24 x 7,Kochi,Pandikudy,4 Bds , 4+ Ba , 1600 ft2,"₹ 75,00,000"
House for sale at edakochi temble,4 bedroom 3 bathroom 2 kitchen 2 work area,Kochi,Edakochi,4 Bds , 4 Ba , 0000 ft2,"₹ 32,00,000"
Nice house,I want to go on another place,Kochi,Fort Kochi,3 Bds , 3 Ba , 1300 ft2,"₹ 63,00,000"
Ground Floor Flat For Sale - Ideal For Lawyers & CAs,3 BHK ground floor flat in the heart of the city. Around half km from High Court and Kacheripady.,Kochi,Kacheripady,3 Bds , 3 Ba , 1312 ft2,"₹ 55,00,000"
️2 story Villa  with covered  roofing ️,"️2 story Villa  with covered  roofing ️ Area 1700sq ft ️Land area 3.3 cent ️4 bedroom with attached 3 bathroom ️One commen bathroom ️One kitchen  ️Hall with dinning room  ️Carporch & compund wall, Interlock & gate ️Municipality water connection & electricity ️Asking price Rs. 75 lakhs ( negotiable) ️Year 2008 ️Laction. Challikavattam Ernakulam",Kochi,Chalikkavattom,4 Bds , 4 Ba , 1700 ft2,"₹ 75,00,000"
4.5 cent plot with 1650sqft 3BHK new gated villa sale near Thiruvankul,"VP NO 3177:    4.5 cent plot with 1650sqft 3BHK new gated villa sale near Thiruvankulam,Thripunithura.Price 68 lacs(Neg). Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Tripunithura,3 Bds , 3 Ba , 1650 ft2,"₹ 68,00,000"
"3414 sqft  5BHK flat sale at Pettah,Poonithura.","VP NO 3167:  3414 sqft  5BHK flat sale at Pettah,Poonithura.Price 1.95 Cr. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Poonithura,4+ Bds , 4+ Ba , 3414 ft2,"₹ 1,95,00,000"
40 cents with palace for sale Tripunithura,Palace for sale in  Tripunithura. Price 20crore. For more details contact : vinharproperties,Kochi,Tripunithura,4 Bds , 4 Ba , 4000 ft2,"₹ 20,00,00,000"
16 cents plot with old house chottanikara,"16 cents plots with 2 houses ( 2 bhk, 1 bhk)for sale in chotanikara. Juat 150 mtr from main Road, 1.5 km from Thiruvankulam. Price 7 lks/ cent( negitiable ) Buyers contact : vinharproperties",Kochi,Tripunithura,3 Bds , 3 Ba , 1200 ft2,"₹ 1,12,00,000"
3BHK 3.600Cent 850Sq New House In Neericode Near Kongorpilly Varapuzha,3BHK 3.600Cent 850Sq New House In Neericode Near Kongorpilly Varapuzha  * 33 Lacks / Negotiable  * Just 350Mtr From Bus Stop  * 3 Bedroom With Attached bathrooms  * Bank loans facility Available  * For Visit : 9633 O7O .. 9O7,Kochi,Edapally,3 Bds , 3 Ba , 850 ft2,"₹ 33,00,000"
3.550 cent plot with 1650sqft 4BHK house sale at near SN Jn.,"VP NO 3312:  3.550 cent plot with 1650sqft 4BHK house sale at near SN Jn,Thripunithura.2 carparking,Muncipality water. Price 85 lacs. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Thripunithura,4 Bds , 4 Ba , 1650 ft2,"₹ 85,00,000"
6000sqft 4Bhk residential duplex river side luxury flat for sale iat V,"VP NO 3234:      6000sqft 4Bhk residential duplex river side luxury flat for sale iat Vyttila.power backup,24hr security.2 car parking etc amenities are available.Price 4Cr. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Vyttila,4 Bds , 4 Ba , 6000 ft2,"₹ 4,00,00,000"
1100sqft 3Bhk semifurnished apartment for sale at Eroor.,"VP NO 3233:      1100sqft 3Bhk semifurnished apartment for sale at Eroor.covered carparking,lift,security,waste management.Price 42 lacs. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Eroor,3 Bds , 3 Ba , 1100 ft2,"₹ 42,00,000"
4154 sqft 4BHk river facing Duplex flat for sale at Vyttila.,"VP NO 3230:      4154 sqft 4BHk river facing Duplex flat for sale at Vyttila. 2 car parking,pool,gym,security,generator backup facilities are available.Price 3Cr. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Vyttila,4 Bds , 4 Ba , 4154 ft2,"₹ 3,00,00,000"
"4.700 cents plot with 1900 sqft 3BHK villa for sale at Eroor,Thripunit","VP NO 3225:      4.700 cents plot with 1900 sqft 3BHK villa for sale at Eroor,Thripunithura.Price 90 lacs. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Eroor,3 Bds , 3 Ba , 1900 ft2,"₹ 90,00,000"
3BHK Project of Melrose Skyline Padivattom,"3BHK Apartment sale at Padivattom 10 years Apartment ,  Amenities - Skyline Melrose  Indoor  * 24Hrs Backup Electricity * Intercom * Wifi Connection  Society  *Gated Community* Gym* Health Facilities* Landscaped Garden*Maintenance Staff*Meditation Hall*Play Area*Pucca Road*Rain Water Harvesting*Swimming Pool*Security Personnel",Kochi,Padivattom,3 Bds , 2 Ba , 1365 ft2,"₹ 70,00,000"
2.5.cent land independent house 2BHK sale 55 lakh near Edappally,Edappally lulumal 1km,Kochi,Edappally,2 Bds , 3 Ba , 1000 ft2,"₹ 55,00,000"
3Bedroom 1400Sq 3Cent New House Near Koonammav Varapuzha,3Bedroom 1400Sq 3Cent New House Near Koonammav Varapuzha  * 50 Lacks / Negotiable  * Just 350Mtr From Bus Stop  * 3 Bedroom With Attached bathrooms  * Bank loans facility Available  * For Visit : 9633 O7O .. 9O7,Kochi,Edapally,3 Bds , 3 Ba , 1400 ft2,"₹ 50,00,000"
House and 8 cents of land @ Chakkaraparambu for Sale,"3 BHK house with approx 1900 sqft plus area for sale in Chakkaraparambu near Vyttla.  Exact location : Chalikkavattom Juma Masjid Road, starting from  Madapattu road, near Kuppi Company, Chakkaraparambu., Chalikkavattom (MRERA 70) .",Kochi,Chalikkavattom,3 Bds , 3 Ba , 1900 ft2,"₹ 1,25,00,000"
POSH വീട് - 4 BHK (തൃപ്പൂണിത്തുറ - പുതിയകാവ് )-(4.500 Cent)- 88 ലക്ഷം,"Details:  വിളിക്കുക - 9️⃣4️⃣4️⃣7️⃣5️⃣ 6️⃣6️⃣4️⃣5️⃣5️⃣  (തൃപ്പൂണിത്തുറ- പുതിയകാവിൽ Main റോഡിന് അടുത്തായി നല്ല രീതിയിൽ നിർമിച്ച പുതിയ വീട് വില്പനയ്ക്ക്)  Plot area  - 4.500  Cent  Built up area  - 2040 Sqft  Bedrooms  - 4 nos  Year of Construction  - 2022  (Private Tiles road,  Lorry access,  Good residential area nearby Church,  Temple,  shops etc.)  Features :  1. നാല് Bed room ന് നാല് attached Toilet ഉം Wardrobes കൊടുത്തിട്ടുണ്ട്  2. Kitchen മുഴുവനായും Cabinets ഉണ്ട്  3. Family Living area 4. Separate Living & Dinning area  5.  Balcony  6. കിണർ, KWA വെള്ളം സൗകര്യം 7. വലിയ Utility area 8. വർക്ക്‌. Area യിൽ Cabinets ഉണ്ട് 9. താഴെ രണ്ടും മുകളിൽ രണ്ടും Bedroom വീതം കൊടുത്തിട്ടുണ്ട്   Note :  1. എല്ലാ Items ഉം Branded കമ്പനി Products മാത്രമാണ് ഉപയോഗിച്ചിരിക്കുന്നത് 2. എല്ലാ മുറികളിലും Ceiling Gypsum Work ചെയ്തിട്ടുണ്ട്  3.  രണ്ട്  Car പാർക്കിംഗ് സൗകര്യം 4. വാസ്തു പ്രകാരമാണ് വീടിന്റെ നിർമാണം 5. വടക്ക് ദർശനമായിട്ടാണ് വീട് നിർമിച്ചിരിക്കുന്നത് 6. ഒരു ചെറിയ Function നടത്തുവാൻ പാകത്തിലുള്ള Utility area കൊടുത്തിട്ടുണ്ട് 7. എല്ലാ മുറികളിലും Fan, Light Fittings കൊടുത്തിട്ടുണ്ട്   Distances:  1. 1 km ദൂരം മാത്രം പുതിയകാവ് Main റോഡ് (Bus Stop) 2. 100 മീറ്റർ ദൂരം മാത്രം MLA Road (Bus Stop)  (ബാങ്ക് ലോൺ സൗകര്യം - HDFC ബാങ്ക് ലോൺ നൽകുന്നു)  വില - 88 ലക്ഷം (Nego)  കൂടുതൽ വിവരങ്ങൾക്ക്:  CAPITAL PROPERTIES  (A Property Management Services) 29/292 E, First Floor Siva Complex Thekkumbhagam Choorakkad Tripunithura - 682 301  (Buying  & selling PROPERTIES)",Kochi,Tripunithura,4 Bds , 4 Ba , 2040 ft2,"₹ 88,00,000"
